短地: duǎn de
嘀地: dí de
蹬地: dēng de
突地: tū de
忽地: hū de
霍地: huò de
蓦地: mò de
倏地: shū de
墩地: dūn de
般地: bān de
嗖地: sōu de
尹地: yǐn de
咻地: xiū de
羞地: xiū de
腾地: téng de
傻地: shǎ de
气地: qì de
怯地: qiè de
全地: quán de
求地: qiú de
取地: qǔ de
轻地: qīng de
起地: qǐ de
球地: qiú de
强地: qiáng de
愀地: qiǎo de
确地: què de
猛地: měng de
河地: hé de
哼地: hēng de
不断地将: bù duàn de jiāng
能正确地: néng zhèng què de
还偷偷地: hái tōu tōu de
很顺手地: hěn shùn shǒu de
猛地跳起: měng de tiào qǐ
才认真地: cái rèn zhēn de
都紧紧地: dōu jǐn jǐn de
很自由地: hěn zì yóu de
很高兴地: hěn gāo xìng de
很稳定地: hěn wěn deng de
能极大地: néng jí dà de
并不时地: bìng bù shí de
轻轻地来: qīng qīng de lái
你大大地: nǐ dà dà de
很肯定地: hěn kěn deng de
还适当地: hái shì dàng de
特别地冻: tè bié de dòng
很紧张地: hěn jǐn zhāng de
客观地讲: kè guān de jiǎng
特别地忙: tè bié de máng
很幸运地: hěn xìng yùn de
客观地说: kè guān de shuō
自豪地说: zì háo de shuō
很遗憾地: hěn yí hàn de
太多地用: tài duō de yòng
我简单地: wǒ jiǎn dān de
眼红红地: yǎn hóng hóng de
淡淡地问: dàn dàn de wèn
石头似地: shí tou shì de
坦率地讲: tǎn shuài de jiǎng
有限度地: yǒu xiàn dù de
眼睁睁地: yǎn zhēng zhēng de
还同情地: hái tóng qíng de
急匆匆地: jí cōng cōng de
很方便地: hěn fāng biàn de
更加地快: gèng jiā de kuài
更轻松地: gèng qīng sōng de
更好地去: gèng hǎo de qù
将紧密地: jiāng jǐn mì de
将成功地: jiāng chéng gōng de
更多地在: gèng duō de zài
猛地跪下: měng de guì xià
撒娇似地: sā jiāo shì de
缩地成寸: suō de chéng cùn
好端端地: hǎo duān duān de
不停地笑: bù tíng de xiào
大声地哭: dà shēng de kū
很积极地: hěn jī jí de
哇哇地叫: wā wā de jiào
无奈地说: wú nài de shuō
小声地说: xiǎo shēng de shuō
认真地说: rèn zhēn de shuō
又一次地: yòu yī cì de
负责任地: fù zé rèn de
骄傲地说: jiāo ào de shuō
轻飘飘地: qīng piāo piāo de
真正地做: zhēn zhèng de zuò
自责地想: zì zé de xiǎng
扎扎地踏: zhā zhā de tà
在中心地: zài zhōng xīn de
在中间地: zài zhōng jiān de
吱吱地叫: zhī zhī de jiào
咂咂地吃: zā zā de chī
组织上地: zǔ zhī shàng de
组织论地: zǔ zhī lùn de
政治上地: zhèng zhì shàng de
做作地说: zuò zuò de shuō
粘着性地: zhān zhe xìng de
喳喳叫地: zhā zhā jiào de
照字义地: zhào zì yì de
照字面地: zhào zì miàn de
照宗规地: zhào zōng guī de
占主导地: zhàn zhǔ dǎo de
猪一般地: zhū yì bān de
职业上地: zhí yè shàng de
职业化地: zhí yè huà de
职业性地: zhí yè xìng de
装样子地: zhuāng yàng zi de
正默默地: zhèng mò mò de
在默默地: zài mò mò de
专门性地: zhuān mén xìng de
姐妹般地: jiě mèi bān de
照拍子地: zhào pāi zi de
周期性地: zhōu qī xìng de
正奇怪地: zhèng qí guài de
正起劲地: zhèng qǐ jìn de
正确地看: zhèng què de kàn
准确地说: zhǔn què de shuō
纵情地唱: zòng qíng de chàng
在其它地: zài qí tā de
在前方地: zài qián fāng de
职权或地: zhí quán huò de
最缺点地: zuì quē diǎn de
则深刻地: zé shēn kè de
正手击地: zhèng shǒu jī de
在上面地: zài shàng miàn de
在上流地: zài shàng liú de
自杀性地: zì shā xìng de
折射性地: zhé shè xìng de
最适宜地: zuì shì yí de
在痛苦地: zài tòng kǔ de
总偷偷地: zǒng tōu tōu de
直挺挺地: zhí tǐng tǐng de
支吾地说: zhī wú de shuō
再往前地: zài wǎng qián de
植物学地: zhí wù xué de
仔细地看: zǐ xì de kàn
钻心地疼: zuān xīn de téng
最下位地: zuì xià wèi de
最下面地: zuì xià miàn de
最有效地: zuì yǒu xiào de
再一次地: zài yí cì de
再用力地: zài yòng lì de
注意地听: zhù yì de tīng
注意地看: zhù yì de kàn
占优势地: zhàn yōu shì de
在远方地: zài yuǎn fāng de
着急地说: zháo jí de shuō
正焦急地: zhèng jiāo jí de
在机械地: zài jī xiè de
在剧烈地: zài jù liè de
着急地问: zháo jí de wèn
啁啾地叫: zhōu jiū de jiào
最节制地: zuì jié zhì de
最决定地: zuì jué deng de
在愤怒地: zài fèn nù de
装憨地问: zhuāng hān de wèn
正方形地: zhèng fāng xíng de
在后台地: zài hòu tái de
在后地在: zài hòu de zài
在附近地: zài fù jìn de
在海上地: zài hǎi shàng de
阵发性地: zhèn fā xìng de
政府拨地: zhèng fǔ bō de
涨红脸地: zhàng hóng liǎn de
做法人地: zuò fǎ rén de
直勾勾地: zhí gōu gōu de
整个儿地: zhěng gè ér de
宗规上地: zōng guī shàng de
照惯例地: zhào guàn lì de
针对性地: zhēn duì xìng de
征地卖地: zhēng de mài de
直瞪瞪地: zhí dèng dèng de
置地筑屋: zhì de zhù wū
在第七地: zài de qī de
张大口地: zhāng dà kǒu de
制度上地: zhì dù shàng de
战斗中地: zhàn dòu zhōng de
一口气地: yì kǒu qì de
愉快地唱: yú kuài de chàng
也慢慢地: yě màn màn de
油麻地站: yóu má de zhàn
幽默地说: yōu mò de shuō
一幕幕地: yí mù mù de
一名誉地: yī míng yù de
一明了地: yī míng liǎo de
用魔法地: yòng mó fǎ de
有名誉地: yǒu míng yù de
有魅力地: yǒu mèi lì de
游牧民地: yóu mù mín de
燕麦地组: yān mài de zǔ
一片片地: yī piàn piàn de
一疲倦地: yī pí juàn de
一排排地: yī pái pái de
有魄力地: yǒu pò lì de
又清晰地: yòu qīng xī de
也清醒地: yě qīng xǐng de
已悄悄地: yǐ qiāo qiāo de
已清楚地: yǐ qīng chǔ de
运气好地: yùn qì hǎo de
要恰当地: yào qià dàng de
一屈服地: yī qū fú de
已起床地: yǐ qǐ chuáng de
与前同地: yǔ qián tóng de
有区别地: yǒu qū bié de
有气派地: yǒu qì pài de
有全权地: yǒu quán quán de
有权威地: yǒu quán wēi de
有缺点地: yǒu quē diǎn de
有缺陷地: yǒu quē xiàn de
有趣味地: yǒu qù wèi de
易曲折地: yì qū zhé de
有计划地: yǒu jì huà de
有节制地: yǒu jié zhì de
有节奏地: yǒu jié zòu de
要坚定地: yào jiān deng de
一节俭地: yī jié jiǎn de
一均衡地: yī jūn héng de
永久性地: yǒng jiǔ xìng de
用假名地: yòng jiǎ míng de
有几分地: yǒu jǐ fēn de
有见识地: yǒu jiàn shí de
有价值地: yǒu jià zhí de
有机性地: yǒu jī xìng de
有机智地: yǒu jī zhì de
有结果地: yǒu jié guǒ de
有剧毒地: yǒu jù dú de
有教养地: yǒu jiào yǎng de
有焦点地: yǒu jiāo diǎn de
有精神地: yǒu jīng shén de
有爵位地: yǒu jué wèi de
远距离地: yuǎn jù lí de
易驾驭地: yì jià yù de
易觉察地: yì jué chá de
隐居性地: yǐn jū xìng de
演讲似地: yǎn jiǎng shì de
又反感地: yòu fǎn gǎn de
要合理地: yào hé lǐ de
疑惑地想: yí huò de xiǎng
疑惑地问: yí huò de wèn
匀厚地涂: yún hòu de tú
以合唱地: yǐ hé chàng de
有活力地: yǒu huó lì de
易发生地: yì fā shēng de
诱惑人地: yòu huò rén de
诱惑性地: yòu huò xìng de
遗憾地说: yí hàn de shuō
有规律地: yǒu guī lǜ de
一个劲地: yí gè jìn de
一个个地: yí gè gè de
也乖乖地: yě guāi guāi de
有规则地: yǒu guī zé de
严格地讲: yán gé de jiǎng
严格地说: yán gé de shuō
勇敢地对: yǒng gǎn de duì
要乖乘地: yào guāi chéng de
有光泽地: yǒu guāng zé de
有关电地: yǒu guān diàn de
有关连地: yǒu guān lián de
有关联地: yǒu guān lián de
易感知地: yì gǎn zhī de
易管理地: yì guǎn lǐ de
勇敢地与: yǒng gǎn de yǔ
已大大地: yǐ dà dà de
以地换地: yǐ de huàn de
雨点般地: yǔ diǎn bān de
一定义地: yí deng yì de
一定期地: yí deng qī de
以电报地: yǐ diàn bào de
压倒性地: yā dǎo xìng de
有毒害地: yǒu dú hài de
有胆量地: yǒu dǎn liàng de
有敌意地: yǒu dí yì de
有道德地: yǒu dào dé de
运动会地: yùn dòng huì de
音调好地: yīn diào hǎo de
也动情地: yě dòng qíng de
一点点地: yì diǎn diǎn de
易了解地: yì liǎo jiě de
幽灵似地: yōu líng shì de
已牢牢地: yǐ láo láo de
用力猛地: yòng lì měng de
有礼貌地: yǒu lǐ mào de
幽灵般地: yōu líng bān de
要认真地: yào rèn zhēn de
又讷讷地: yòu nè nè de
用力地打: yòng lì de dǎ
有力地说: yǒu lì de shuō
有耐性地: yǒu nài xìng de
有弱点地: yǒu ruò diǎn de
有恶臭地: yǒu è chòu de
易流泪地: yì liú lèi de
易理解地: yì lǐ jiě de
油腻腻地: yóu nì nì de
鱼类学地: yú lèi xué de
一般地说: yì bān de shuō
一步步地: yí bù bù de
一般地讲: yì bān de jiǎng
一般地指: yì bān de zhǐ
有步骤地: yǒu bù zhòu de
要不停地: yào bù tíng de
要不断地: yào bù duàn de
眼巴巴地: yǎn bā bā de
一不安地: yī bù ān de
一般性地: yì bān xìng de
一部分地: yī bù fèn de
用鼻拱地: yòng bí gǒng de
有把握地: yǒu bǎ wò de
有保留地: yǒu bǎo liú de
有帮助地: yǒu bāng zhù de
易变动地: yì biàn dòng de
易被瞒地: yì bèi mán de
一次次地: yī cì cì de
一次性地: yí cì xìng de
有成绩地: yǒu chéng jì de
有差别地: yǒu chā bié de
一成形地: yì chéng xíng de
用催眠地: yòng cuī mián de
有才能地: yǒu cái néng de
有成果地: yǒu chéng guǒ de
有差错地: yǒu chā cuò de
有臭味地: yǒu chòu wèi de
有常识地: yǒu cháng shí de
易处理地: yì chǔ lǐ de
遗传上地: yí chuán shàng de
笑眯眯地: xiào mī mī de
向旁边地: xiàng páng biān de
心歉歉地: xīn qiàn qiàn de
小气地给: xiǎo qì de gěi
兴趣浓地: xìng qù nóng de
像骑士地: xiàng qí shì de
像蔷薇地: xiàng qiáng wēi de
小说般地: xiǎo shuō bān de
向水性地: xiàng shuǐ xìng de
向湿性地: xiàng shī xìng de
吸湿性地: xī shī xìng de
形式上地: xíng shì shàng de
学术上地: xué shù shàng de
羞涩地看: xiū sè de kàn
象声词地: xiàng shēng cí de
潇洒地穿: xiāo sǎ de chuān
心痛地说: xīn tòng de shuō
乡土气地: xiāng tǔ qì de
向天空地: xiàng tiān kōng de
向头部地: xiàng tóu bù de
欣慰地笑: xīn wèi de xiào
学问上地: xué wèn shàng de
旋涡似地: xuán wō shì de
心虚地说: xīn xū de shuō
形象地将: xíng xiàng de jiāng
形象地说: xíng xiàng de shuō
形象地称: xíng xiàng de chēng
细细地读: xì xì de dú
详细地问: xiáng xì de wèn
笑嘻嘻地: xiào xī xī de
嘻笑地说: xī xiào de shuō
欣喜地说: xīn xǐ de shuō
乡下味地: xiāng xià wèi de
向心里地: xiàng xīn lǐ de
向西方地: xiàng xī fāng de
向西部地: xiàng xī bù de
性行为地: xìng xíng wèi de
现象上地: xiàn xiàng shàng de
细细地流: xì xì de liú
详细地说: xiáng xì de shuō
徐徐地吹: xú xú de chuī
想象上地: xiǎng xiàng shàng de
想象中地: xiǎng xiàng zhōng de
想像上地: xiǎng xiàng shàng de
嘘嘘地响: xū xū de xiǎng
狭义地说: xiá yì de shuō
先约略地: xiān yuē lüè de
狭义地讲: xiá yì de jiǎng
眩晕仆地: xuàn yūn pū de
下意识地: xià yì shí de
向右转地: xiàng yòu zhuǎn de
向药性地: xiàng yào xìng de
向原野地: xiàng yuán yě de
西洋化地: xī yáng huà de
吸引人地: xī yǐn rén de
想要似地: xiǎng yào shì de
献殷勤地: xiàn yīn qín de
象征性地: xiàng zhēng xìng de
选择性地: xuǎn zé xìng de
限制性地: xiàn zhì xìng de
有利益地: yǒu lì yì de
像幻影地: xiàng huàn yǐng de
习惯性地: xí guàn xìng de
小规模地: xiǎo guī mó de
雪糕新地: xuě gāo xīn de
小鬼似地: xiǎo guǐ shì de
雄赳赳地: xióng jiū jiū de
学究气地: xué jiū qì de
戏剧性地: xì jù xìng de
戏剧般地: xì jù bān de
性急地在: xìng jí de zài
迅捷地落: xùn jié de luò
戏剧化地: xì jù huà de
戏剧似地: xì jù shì de
斜靠式地: xié kào shì de
辛苦地干: xīn kǔ de gàn
辛苦地做: xīn kǔ de zuò
兴奋地说: xīng fèn de shuō
想好好地: xiǎng hǎo hǎo de
想狠狠地: xiǎng hěn hěn de
兴奋地喊: xīng fèn de hǎn
习很深地: xí hěn shēn de
向后转地: xiàng hòu zhuǎn de
向后面地: xiàng hòu miàn de
徐缓地吹: xú huǎn de chuī
相当地棒: xiāng dāng de bàng
相当地好: xiāng dāng de hǎo
想当然地: xiǎng dāng rán de
相对地说: xiāng duì de shuō
相当快地: xiāng dāng kuài de
笑到碌地: xiào dào lù de
兄弟似地: xiōng de shì de
兄弟般地: xiōng de bān de
向东方地: xiàng dōng fāng de
向地球地: xiàng de qiú de
许多倍地: xǔ duō bèi de
现代式地: xiàn dài shì de
修道士地: xiū dào shì de
修道院地: xiū dào yuàn de
咻地发声: xiū de fā shēng
相当多地: xiāng dāng duō de
斜地横过: xié de héng guò
像帝王地: xiàng de wáng de
向内部地: xiàng nèi bù de
心里陡地: xīn lǐ dǒu de
稀零零地: xī líng líng de
心理上地: xīn lǐ shàng de
心理学地: xīn lǐ xué de
形容词地: xíng róng cí de
像软木地: xiàng ruǎn mù de
像软片地: xiàng ruǎn piàn de
向北方地: xiàng běi fāng de
向边缘地: xiàng biān yuán de
想不到地: xiǎng bú dào de
小丑般地: xiǎo chǒu bān de
向侧面地: xiàng cè miàn de
向船尾地: xiàng chuán wěi de
相冲突地: xiāng chōng tū de
相称性地: xiāng chèn xìng de
喜吵架地: xǐ chǎo jià de
稀成性地: xī chéng xìng de
无法律地: wú fǎ lǜ de
无风浪地: wú fēng làng de
无分别地: wú fēn bié de
文化上地: wén huà shàng de
文法上地: wén fǎ shàng de
无活力地: wú huó lì de
无悔意地: wú huǐ yì de
王后般地: wáng hòu bān de
为更好地: wèi gèng hǎo de
我高兴地: wǒ gāo xìng de
无光泽地: wú guāng zé de
无感觉地: wú gǎn jué de
无感情地: wú gǎn qíng de
外观上地: wài guān shàng de
外观好地: wài guān hǎo de
无节制地: wú jié zhì de
无价值地: wú jià zhí de
无见识地: wú jiàn shí de
无计划地: wú jì huà de
无技巧地: wú jì qiǎo de
无技术地: wú jì shù de
无经验地: wú jīng yàn de
未决定地: wèi jué deng de
无困难地: wú kùn nán de
无愧地说: wú kuì de shuō
挖苦地说: wā kǔ de shuō
未烤透地: wèi kǎo tòu de
无名声地: wú míng shēng de
顽皮地笑: wán pí de xiào
我奇怪地: wǒ qí guài de
委曲地说: wěi qū de shuō
委屈地说: wěi qū de shuō
委屈地哭: wěi qū de kū
无气力地: wú qì lì de
无穷尽地: wú qióng jìn de
无缺点地: wú quē diǎn de
无趣味地: wú qù wèi de
未期望地: wèi qī wàng de
无数次地: wú shù cì de
五十倍地: wǔ shí bèi de
无生气地: wú shēng qì de
无生命地: wú shēng mìng de
无思想地: wú sī xiǎng de
未受伤地: wèi shòu shāng de
往上游地: wǎng shàng yóu de
无条件地: wú tiáo jiàn de
我痛切地: wǒ tòng qiè de
委体于地: wěi tǐ yú de
无条理地: wú tiáo lǐ de
无添饰地: wú tiān shì de
无痛苦地: wú tòng kǔ de
未提炼地: wèi tí liàn de
呜呜地哭: wū wū de kū
呜呜地叫: wū wū de jiào
哇哇地哭: wā wā de kū
无污染地: wú wū rǎn de
无误地予: wú wù de yǔ
委婉地说: wěi wǎn de shuō
喂喂地叫: wèi wèi de jiào
嗡嗡地响: wēng wēng de xiǎng
无限制地: wú xiàn zhì de
无休止地: wú xiū zhǐ de
无希望地: wú xī wàng de
无限期地: wú xiàn qī de
我幸运地: wǒ xìng yùn de
威胁性地: wēi xié xìng de
微笑地说: wēi xiào de shuō
违心地做: wéi xīn de zuò
惋惜地说: wǎn xī de shuō
文学上地: wén xué shàng de
无兴趣地: wú xìng qù de
无血色地: wú xuè sè de
无信仰地: wú xìn yǎng de
无效率地: wú xiào lǜ de
无瑕疵地: wú xiá cī de
无意义地: wú yì yì de
无意识地: wú yì shí de
我勇敢地: wǒ yǒng gǎn de
无异议地: wú yì yì de
无掩饰地: wú yǎn shì de
无隐饰地: wú yǐn shì de
武扬威地: wǔ yáng wēi de
望远镜地: wàng yuǎn jìng de
我正确地: wǒ zhèng què de
我自豪地: wǒ zì háo de
委之于地: wěi zhī yú de
婉转地说: wǎn zhuǎn de shuō
文字上地: wén zì shàng de
无自信地: wú zì xìn de
无阻碍地: wú zǔ ài de
无宗教地: wú zōng jiào de
无知觉地: wú zhī jué de
无准备地: wú zhǔn bèi de
无症状地: wú zhèng zhuàng de
哇地一声: wa de yī shēng
嗡地一声: wēng de yī shēng
无定形地: wú deng xíng de
未戴帽地: wèi dài mào de
问答体地: wèn dá tǐ de
为难地说: wéi nán de shuō
无力地看: wú lì de kàn
我努力地: wǒ nǔ lì de
我理智地: wǒ lǐ zhì de
无力气地: wú lì qì de
无礼貌地: wú lǐ mào de
无耐性地: wú nài xìng de
无恶意地: wú è yì de
无能力地: wú néng lì de
无理性地: wú lǐ xìng de
无理智地: wú lǐ zhì de
无联络地: wú lián luò de
玩偶似地: wán ǒu shì de
无保留地: wú bǎo liú de
我不停地: wǒ bù tíng de
无把握地: wú bǎ wò de
无表情地: wú biǎo qíng de
无变化地: wú biàn huà de
无斑点地: wú bān diǎn de
外表上地: wài biǎo shàng de
未必然地: wèi bì rán de
未表明地: wèi biǎo míng de
无次序地: wú cì xù de
无诚意地: wú chéng yì de
无差别地: wú chā bié de
无慈悲地: wú cí bēi de
逃也似地: táo yě shì de
同样地大: tóng yàng de dà
特意地看: tè yì de kàn
椭圆形地: tuǒ yuán xíng de
天真地问: tiān zhēn de wèn
他自觉地: tā zì jué de
天真地说: tiān zhēn de shuō
他气愤地: tā qì fèn de
他亲切地: tā qīn qiè de
他悄悄地: tā qiāo qiāo de
他清醒地: tā qīng xǐng de
偷窃癖地: tōu qiè pǐ de
他失望地: tā shī wàng de
通俗地讲: tōng sú de jiǎng
同时着地: tóng shí zhe de
天设地造: tiān shè de zào
天使般地: tiān shǐ bān de
铁丝状地: tiě sī zhuàng de
提示性地: tí shì xìng de
偷偷地看: tōu tōu de kàn
偷偷地哭: tōu tōu de kū
偷偷地做: tōu tōu de zuò
甜甜地说: tián tián de shuō
甜甜地睡: tián tián de shuì
偷偷地走: tōu tōu de zǒu
滔滔地说: tāo tāo de shuō
他为难地: tā wéi nán de
他顽强地: tā wán qiáng de
她为难地: tā wéi nán de
同位素地: tóng wèi sù de
头向前地: tóu xiàng qián de
她羞愧地: tā xiū kuì de
挑衅似地: tiǎo xìn shì de
叹息地说: tàn xī de shuō
讨好地笑: tǎo hǎo de xiào
讨好人地: tǎo hǎo rén de
屠夫般地: tú fū bān de
天干地燥: tiān gān de zào
他果断地: tā guǒ duàn de
他高兴地: tā gāo xìng de
听教训地: tīng jiào xùn de
统计上地: tǒng jì shàng de
痛快地打: tòng kuài de dǎ
痛快地讲: tòng kuài de jiǎng
痛快地哭: tòng kuài de kū
痛苦地去: tòng kǔ de qù
痛苦地说: tòng kǔ de shuō
他明确地: tā míng què de
他茫然地: tā máng rán de
甜咪咪地: tián mī mī de
他频繁地: tā pín fán de
通盘地看: tōng pán de kàn
腾地一下: téng de yī xià
十字形地: shí zì xíng de
十字状地: shí zì zhuàng de
实质性地: shí zhì xìng de
说着谎地: shuō zhe huǎng de
说着谎地: shuō zhe huǎng de
他乐意地: tā lè yì de
他冷静地: tā lěng jìng de
坦率地说: tǎn shuài de shuō
坦率地谈: tǎn shuài de tán
贪婪地吃: tān lán de chī
贪婪地看: tān lán de kàn
特尔地木: tè ěr de mù
坦然地说: tǎn rán de shuō
贪婪地盯: tān lán de dīng
天不怕地: tiān bù pà de
他本能地: tā běn néng de
他不停地: tā bù tíng de
他不断地: tā bù duàn de
停不停地: tíng bù tíng de
逃不掉地: táo bù diào de
透不过地: tòu bù guò de
生硬地说: shēng yìng de shuō
死一般地: sǐ yì bān de
实验性地: shí yàn xìng de
深远地问: shēn yuǎn de wèn
十一倍地: shí yí bèi de
死一样地: sǐ yī yàng de
呻吟地说: shēn yín de shuō
实验式地: shí yàn shì de
试验性地: shì yàn xìng de
生气地说: shēng qì de shuō
似妻子地: shì qī zǐ de
飒飒地响: sà sà de xiǎng
三十倍地: sān shí bèi de
史诗式地: shǐ shī shì de
顺时针地: shùn shí zhēn de
飕飕地飞: sōu sōu de fēi
嘶嘶地响: sī sī de xiǎng
试探地问: shì tàn de wèn
生态型地: shēng tài xíng de
身体上地: shēn tǐ shàng de
斯文委地: sī wén wěi de
手挽手地: shǒu wǎn shǒu de
生物学地: shēng wù xué de
使无效地: shǐ wú xiào de
说玩笑地: shuō wán xiào de
散文式地: sǎn wén shì de
散文般地: sǎn wén bān de
上下文地: shàng xià wén de
色析法地: sè xī fǎ de
似旋涡地: shì xuán wō de
使陷危地: shǐ xiàn wēi de
思想上地: sī xiǎng shàng de
神学上地: shén xué shàng de
傻呵呵地: shǎ hē hē de
司法上地: sī fǎ shàng de
似合理地: shì hé lǐ de
似黄铜地: shì huáng tóng de
说反话地: shuō fǎn huà de
舒服地躺: shū fú de tǎng
煞风景地: shā fēng jǐng de
使感动地: shǐ gǎn dòng de
使劲地打: shǐ jìn de dǎ
撒娇地说: sā jiāo de shuō
社交上地: shè jiāo shàng de
使劲地干: shǐ jìn de gàn
使劲地嚼: shǐ jìn de jué
使窘迫地: shǐ jiǒng pò de
视觉上地: shì jué shàng de
受交友地: shòu jiāo yǒu de
爽快地说: shuǎng kuài de shuō
随口地唱: suí kǒu de chàng
受困惑地: shòu kùn huò de
神秘地说: shén mì de shuō
生命力地: shēng mìng lì de
使迷惑地: shǐ mí huò de
使麻木地: shǐ má mù de
审美上地: shěn měi shàng de
说明式地: shuō míng shì de
宿命论地: sù mìng lùn de
散慢地说: sàn màn de shuō
散漫地说: sǎn màn de shuō
审判上地: shěn pàn shàng de
傻呆呆地: shǎ dāi dāi de
闪电般地: shǎn diàn bān de
似地穿过: shì de chuān guò
刷地泛红: shuā de fàn hóng
实打实地: shí dǎ shí de
是多么地: shì duō me de
刷地一声: shuā de yī shēng
似毒蛇地: shì dú shé de
嗖地发射: sōu de fā shè
嗖地挥动: sōu de huī dòng
飕地挥舞: sōu de huī wǔ
少女似地: shào nǚ shì de
手拉手地: shǒu lā shǒu de
少量地吃: shǎo liàng de chī
生理学地: shēng lǐ xué de
收敛性地: shōu liǎn xìng de
死了似地: sǐ le shì de
似露水地: shì lù shuǐ de
湿淋淋地: shī lín lín de
十八层地: shí bā céng de
散步似地: sàn bù shì de
手不时地: shǒu bù shí de
时不时地: shí bù shí de
身不离地: shēn bù lí de
手把手地: shǒu bǎ shǒu de
四边形地: sì biān xíng de
守本分地: shǒu běn fèn de
似玻璃地: shì bō lí de
说不出地: shuō bù chū de
数不清地: shǔ bù qīng de
睡不着地: shuì bù zhe de
睡不着地: shuì bù zhe de
生存力地: shēng cún lì de
申斥似地: shēn chì shì de
受嘲弄地: shòu cháo nòng de
受嘲笑地: shòu cháo xiào de
深测术地: shēn cè shù de
破坏性地: pò huài xìng de
片分类地: piàn fēn lèi de
平静地说: píng jìng de shuō
片面地看: piàn miàn de kàn
批判性地: pī pàn xìng de
砰砰地跳: pēng pēng de tiào
劈啪地响: pī pā de xiǎng
批评性地: pī píng xìng de
砰砰地打: pēng pēng de dǎ
砰砰地敲: pēng pēng de qiāo
脾气坏地: pí qì huài de
蹒跚地走: pán shān de zǒu
排泄物地: pái xiè wù de
轻率地说: qīng shuài de shuō
却冷酷地: què lěng kù de
亲热地叫: qīn rè de jiào
亲热地说: qīn rè de shuō
却热情地: què rè qíng de
亲昵地说: qīn nì de shuō
勤劳地干: qín láo de gàn
千百年地: qiān bǎi nián de
瞧不起地: qiáo bù qǐ de
虔诚地说: qián chéng de shuō
清楚地说: qīng chǔ de shuō
气冲冲地: qì chōng chōng de
确地叙述: què de xù shù
气呼呼地: qì hū hū de
气愤地问: qì fèn de wèn
气愤地说: qì fèn de shuō
全方位地: quán fāng wèi de
气候上地: qì hòu shàng de
气鼓鼓地: qì gǔ gǔ de
却更多地: què gèng duō de
奇怪地问: qí guài de wèn
取高利地: qǔ gāo lì de
器官上地: qì guān shàng de
奇迹般地: qí jì bān de
却倔犟地: què juè jiàng de
起劲地笑: qǐ jìn de xiào
全景式地: quán jǐng shì de
起劲地干: qǐ jìn de gàn
轻快地飞: qīng kuài de fēi
轻快地走: qīng kuài de zǒu
轻快地唱: qīng kuài de chàng
轻蔑地笑: qīng miè de xiào
巧妙地将: qiǎo miào de jiāng
全面地看: quán miàn de kàn
却默默地: què mò mò de
浅明地说: qiǎn míng de shuō
起泡沫地: qǐ pào mò de
强迫人地: qiǎng pò rén de
轻轻地问: qīng qīng de wèn
却清楚地: què qīng chǔ de
怯怯地答: qiè qiè de dá
亲切地叫: qīn qiè de jiào
亲切地交: qīn qiè de jiāo
亲切地问: qīn qiè de wèn
亲切地呼: qīn qiè de hū
轻轻地抓: qīng qīng de zhuā
轻轻地将: qīng qīng de jiāng
轻轻地说: qīng qīng de shuō
轻轻地舀: qīng qīng de yǎo
轻轻着地: qīng qīng zhe de
悄悄地听: qiāo qiāo de tīng
确切地讲: què qiè de jiǎng
确切地说: què qiè de shuō
亲切地说: qīn qiè de shuō
轻轻地摇: qīng qīng de yáo
轻轻地飘: qīng qīng de piāo
瞿瞿地叫: qú qú de jiào
轻轻地讲: qīng qīng de jiǎng
轻轻地吹: qīng qīng de chuī
轻轻地走: qīng qīng de zǒu
却深深地: què shēn shēn de
轻声地说: qīng shēng de shuō
轻松地做: qīng sōng de zuò
轻声地讲: qīng shēng de jiǎng
轻松地笑: qīng sōng de xiào
七十倍地: qī shí bèi de
轻声地走: qīng shēng de zǒu
确实性地: què shí xìng de
庆幸地说: qìng xìng de shuō
强有力地: qiáng yǒu lì de
轻悠悠地: qīng yōu yōu de
契约上地: qì yuē shàng de
愀洋洋地: qiǎo yáng yáng de
趋药性地: qū yào xìng de
潜意识地: qián yì shí de
却整齐地: què zhěng qí de
强制性地: qiáng zhì xìng de
妻子似地: qī zǐ shì de
妻子般地: qī zǐ bān de
前置词地: qián zhì cí de
疲累地走: pí lèi de zǒu
砰然地响: pēng rán de xiǎng
攀良似地: pān liáng shì de
攀敛性地: pān liǎn xìng de
凭触觉地: píng chù jué de
美滋滋地: měi zī zī de
满足地看: mǎn zú de kàn
没好气地: méi hǎo qì de
迷惑地问: mí huò de wèn
蛮横地说: mán hèng de shuō
马虎地做: mǎ hǔ de zuò
民法上地: mín fǎ shàng de
每分钟地: měi fēn zhōng de
没防备地: méi fáng bèi de
冒风险地: mào fēng xiǎn de
梦幻般地: mèng huàn bān de
蛮横地拖: mán hèng de tuō
蛮横地喊: mán hèng de hǎn
魔法似地: mó fǎ shì de
猛孤丁地: měng gū dīng de
没规矩地: méi guī jǔ de
牧歌般地: mù gē bān de
魔鬼似地: mó guǐ shì de
魔鬼般地: mó guǐ bān de
没教养地: méi jiào yǎng de
没精神地: méi jīng shén de
没考虑地: méi kǎo lǜ de
没命地跑: méi mìng de pǎo
汨汨地流: mì mì de liú
卖命地干: mài mìng de gàn
茫茫然地: máng máng rán de
慢慢地好: màn màn de hǎo
慢慢地谈: màn màn de tán
默默地想: mò mò de xiǎng
民民有地: mín mín yǒu de
